pm,keyword,score
Rajiv Gandhi,religious institutions want,0.5615
Rajiv Gandhi,awareness public,0.5293
Rajiv Gandhi,able finish brave,0.5182
Rajiv Gandhi,strongly sarcastically fact,0.5031
Rajiv Gandhi,police administrative civil,0.4665
Rajiv Gandhi,want remove welcome,0.4629
Rajiv Gandhi,traps pick easy,0.4265
Rajiv Gandhi,type structure create,0.4184
Rajiv Gandhi,taken help terrorists,0.6908
Rajiv Gandhi,previous indiraji warned,0.6594
Rajiv Gandhi,mobilise public,0.6053
Rajiv Gandhi,pick killed,0.6017
Rajiv Gandhi,certain weakness,0.5906
Rajiv Gandhi,violence place society,0.5671
Rajiv Gandhi,british bullets lathi,0.5479
Rajiv Gandhi,akali leadership positive,0.533
Rajiv Gandhi,stop saying stop,0.5265
Rajiv Gandhi,steps cancer,0.522
Rajiv Gandhi,pandit,0.5079
Rajiv Gandhi,aspects,0.478
Rajiv Gandhi,transistor radios,0.4746
Rajiv Gandhi,charges totally non,0.4122
Rajiv Gandhi,official visit soviet,0.7279
Rajiv Gandhi,lanka discussions went,0.5806
Rajiv Gandhi,hosni mubarak received,0.5668
Rajiv Gandhi,economic trade scientific,0.5375
Rajiv Gandhi,october 1985,0.5174
Rajiv Gandhi,bangladesh day june,0.4965
Rajiv Gandhi,iran iraq war,1.5508
Rajiv Gandhi,strengthen friendship mutually,0.4938
Rajiv Gandhi,10 june,0.4671
Rajiv Gandhi,nikolai tikhonov,0.4559
Rajiv Gandhi,shrimati indira,0.4508
Rajiv Gandhi,asia egypt algeria,0.4345
Rajiv Gandhi,kamal hassan ali,0.8674
Rajiv Gandhi,frunze kirghiz,0.3813
Rajiv Gandhi,covered credit,0.3714
Rajiv Gandhi,algiers talks,0.7627
Rajiv Gandhi,france november 1981,0.6136
Rajiv Gandhi,economic cooperation number,0.6078
Rajiv Gandhi,indo french economic,0.5817
Rajiv Gandhi,indira gandhi short,0.5701
Rajiv Gandhi,1986 marked impact,0.5498
Rajiv Gandhi,beiba sadr executive,0.5466
Rajiv Gandhi,unesco reiterated support,0.5271
Rajiv Gandhi,openness welcomed desire,0.5064
Rajiv Gandhi,received mr,0.5059
Rajiv Gandhi,visit indiain,0.4485
Rajiv Gandhi,abdelhamid brahimi,0.4285
Rajiv Gandhi,wastes energy,0.3811
Rajiv Gandhi,reports president reagan,0.7291
Rajiv Gandhi,geneva accorded,0.5892
Rajiv Gandhi,joint meeting meetings,0.5554
Rajiv Gandhi,brief visit nasa,0.5515
Rajiv Gandhi,addressing international,0.5461
Rajiv Gandhi,technology programme programme,0.5326
Rajiv Gandhi,areas economic scientific,0.5208
Rajiv Gandhi,states broke journey,0.4872
Rajiv Gandhi,commerce washington houston,0.4814
Rajiv Gandhi,surgery,0.4673
Rajiv Gandhi,dedicated memory,0.4615
Rajiv Gandhi,united states,3.2965
Rajiv Gandhi,workers organised unorganised,0.4421
Rajiv Gandhi,shrimati,0.4346
Rajiv Gandhi,inauguration festival dedicated,0.3944
Rajiv Gandhi,memorandum settlement arrived,0.7133
Rajiv Gandhi,punjab great,0.5864
Rajiv Gandhi,president sant,0.5768
Rajiv Gandhi,harchand singh longowalji,0.5452
Rajiv Gandhi,great pleasure informing,0.5344
Rajiv Gandhi,committed giving utmost,0.534
Rajiv Gandhi,minutes ago,0.528
Rajiv Gandhi,passed beginning,0.5195
Rajiv Gandhi,concrete step,0.5181
Rajiv Gandhi,priority solving,0.507
Rajiv Gandhi,shiromani akali,0.5068
Rajiv Gandhi,difficult,0.497
Rajiv Gandhi,informing months taken,0.4707
Rajiv Gandhi,table copy,0.4002
Rajiv Gandhi,build build unity,0.3748
Rajiv Gandhi,strengthening democratic process,0.7087
Rajiv Gandhi,election answer,0.6578
Rajiv Gandhi,terrorism extremism punjab,0.637
Rajiv Gandhi,terrorism correct,0.6133
Rajiv Gandhi,rights freedom political,0.6102
Rajiv Gandhi,masses shall allow,0.5791
