pm,keyword,score
Indira Gandhi,delegates return happy,0.5328
Indira Gandhi,yesterday long unfortunate,0.5154
Indira Gandhi,unbounded faith thank,0.5088
Indira Gandhi,sure particularly,0.4972
Indira Gandhi,state time,0.492
Indira Gandhi,road progress just,0.4854
Indira Gandhi,philosophical liberalism breadth,0.4841
Indira Gandhi,largest,0.9154
Indira Gandhi,vision week host,0.4417
Indira Gandhi,different elements working,0.42
Indira Gandhi,optimist plead guilty,0.4084
Indira Gandhi,banks demand loans,0.607
Indira Gandhi,history happened kashmir,0.5582
Indira Gandhi,680 million,0.5562
Indira Gandhi,advantage good programmes,0.5524
Indira Gandhi,opposite sitting parties,0.5458
Indira Gandhi,rations went,0.5363
Indira Gandhi,hindi replying sbri,0.5312
Indira Gandhi,false propaganda order,0.5181
Indira Gandhi,gupta tell,0.5166
Indira Gandhi,floods area time,0.4905
Indira Gandhi,born questions bothering,0.4781
Indira Gandhi,atal dihari,0.4258
Indira Gandhi,ls6,0.4198
Indira Gandhi,poor said cover,0.418
Indira Gandhi,planned economic growth,0.6706
Indira Gandhi,resources possible enable,0.5703
Indira Gandhi,shastri doubt particular,0.5245
Indira Gandhi,starvation said say,0.5237
Indira Gandhi,fourth,0.5182
Indira Gandhi,gear hoped revival,0.5149
Indira Gandhi,january 1968,0.4892
Indira Gandhi,courage general elections,0.4716
Indira Gandhi,world blame irrigation,0.4711
Indira Gandhi,prakash vir,0.4571
Indira Gandhi,types seeds fertilisers,0.4505
Indira Gandhi,judge kindly surprised,0.4495
Indira Gandhi,idf al,0.4315
Indira Gandhi,woods certainly face,0.3658
Indira Gandhi,wgnizance,0.2951
Indira Gandhi,excitement time democracy,0.6925
Indira Gandhi,contribution maintaining law,0.562
Indira Gandhi,sympathise,0.5475
Indira Gandhi,deal improved,0.5465
Indira Gandhi,poverty deny vast,0.5359
Indira Gandhi,verdict foreigners quite,0.5329
Indira Gandhi,itor economic picture,0.5135
Indira Gandhi,wbenever changed responding,0.5135
Indira Gandhi,state advanced agriculture,0.4815
Indira Gandhi,said 20 just,0.4684
Indira Gandhi,bal raj madhok,1.3781999999999999
Indira Gandhi,villages north village,0.8427
Indira Gandhi,political problem mentioned,0.6975
Indira Gandhi,bengal told tn,0.6088
Indira Gandhi,attempt contradiction letter,0.5657
Indira Gandhi,speak manipur,0.5351
Indira Gandhi,land amendments bihar,0.5301
Indira Gandhi,greater consciousness centre,0.5272
Indira Gandhi,service newly selected,0.5184
Indira Gandhi,camps soon sorry,0.4933
Indira Gandhi,jobs technician administrators,0.4713
Indira Gandhi,burgadars,0.4348
Indira Gandhi,ceiling terms family,0.4331
Indira Gandhi,lease liable eviction,0.4326
Indira Gandhi,surendranath,0.4294
Indira Gandhi,excitement understandable entirely,0.4103
Indira Gandhi,instructions gone,0.7791
Indira Gandhi,attack vajpayee mentioned,0.689
Indira Gandhi,independence recently insinuation,0.63
Indira Gandhi,gandhian way,0.6173
Indira Gandhi,newspaper existed shahdara,0.6002
Indira Gandhi,talked law,0.5867
Indira Gandhi,students exploited purpose,0.5828
Indira Gandhi,controlled union wazirabad,0.5416
Indira Gandhi,difficult supported communist,0.5398
Indira Gandhi,bus destroy,0.534
Indira Gandhi,constituency ago,1.0348000000000002
Indira Gandhi,amenities,0.4914
Indira Gandhi,just 10,0.4876
Indira Gandhi,kami singh,0.4719
Indira Gandhi,hardly worthwhile work,0.4446
Indira Gandhi,sixth plan growth,0.7185
Indira Gandhi,gross domestic,0.6746
Indira Gandhi,budget yesterday given,0.6675
Indira Gandhi,programmes greater purchasing,0.6317
Indira Gandhi,said important fact,0.6194
Indira Gandhi,figures need risk,0.6005
Indira Gandhi,hardship middle classes,0.5632
Indira Gandhi,sitting expect praise,0.5418
Indira Gandhi,25,1.0602
Indira Gandhi,power sections specially,0.5243
Indira Gandhi,gone greater fortunately,0.5184
Indira Gandhi,effort physical terms,0.4846
Indira Gandhi,sound macro environment,0.4386
Indira Gandhi,boring friends going,0.4339
Indira Gandhi,reasonable pro labour,0.7147
Indira Gandhi,talk railway,0.6144
Indira Gandhi,coal movements damaging,0.6071
Indira Gandhi,leaders hesitated,0.58
Indira Gandhi,power resources fuel,0.558
Indira Gandhi,exports economic,0.5461
Indira Gandhi,think plan dead,0.5387
Indira Gandhi,elections sown cynicism,0.509
Indira Gandhi,preventing food,0.4966
Indira Gandhi,magazines newspapers does,0.4628
Indira Gandhi,just shows little,0.8263
Indira Gandhi,ndrajit gupta,0.4128
Indira Gandhi,misbra,1.7172
Indira Gandhi,ambassador united states,0.8755
Indira Gandhi,trying arrest inflation,0.7361
Indira Gandhi,asked chief ministers,2.5031
Indira Gandhi,banks scrutiny strengthen,0.5872
Indira Gandhi,radical pointed use,0.5289
Indira Gandhi,especially theory politics,0.5178
Indira Gandhi,importance agricultural production,0.4884
Indira Gandhi,experience simple life,0.463
Indira Gandhi,degree fiscal,0.4623
Indira Gandhi,don freeze,0.4517
Indira Gandhi,heard reserve,0.4477
Indira Gandhi,sbri madbu umaye,0.4469
Indira Gandhi,materials steel cement,0.4179
Indira Gandhi,ramrajya,0.4152
Indira Gandhi,growth rate industrial,0.6617
Indira Gandhi,doubt patriotism workers,0.617
Indira Gandhi,tightening public sector,0.5794
Indira Gandhi,losses months 1981,0.5756
Indira Gandhi,oil know petroleum,0.5608
Indira Gandhi,showers reinforce arguments,0.5212
Indira Gandhi,interested sikh community,0.5142
Indira Gandhi,1974 triu takeg,0.5098
Indira Gandhi,achievement bad thing,0.4935
Indira Gandhi,rs 6s gone,0.4846
Indira Gandhi,98 crares agriculture,0.4668
Indira Gandhi,11 cent plus,0.4625
Indira Gandhi,defence works airlines,0.4529
Indira Gandhi,madhu dandavate,0.8995
Indira Gandhi,held ransom unscrupulous,0.4413
Indira Gandhi,dandavate janata time,0.7138
Indira Gandhi,poverty line increased,0.6338
Indira Gandhi,reforms programmes concern,0.6261
Indira Gandhi,belgaum border,0.6253
Indira Gandhi,madhu,1.0665
Indira Gandhi,far drinking water,0.536
Indira Gandhi,crowd said,0.5215
Indira Gandhi,interruptions subject,0.5131
Indira Gandhi,refonns don want,0.5131
Indira Gandhi,target 20,0.512
Indira Gandhi,villages fact villages,0.5069
Indira Gandhi,percentage terms number,0.4925
Indira Gandhi,13 cent 1977,0.4735
Indira Gandhi,135 life sentences,0.441
Indira Gandhi,belchi pipra bishenpur,0.4367
Indira Gandhi,preparatory work fourth,0.715
Indira Gandhi,pla long tenn,0.6165
Indira Gandhi,foreign collaboration agree,0.6067
Indira Gandhi,economy fact hon,1.1093000000000002
Indira Gandhi,state deeply concerned,0.5733
Indira Gandhi,reopened statement,0.5515
Indira Gandhi,strategies policy instrument,0.5225
Indira Gandhi,does planning commission,0.5168
Indira Gandhi,turnkey contracts,0.5145
Indira Gandhi,matter taken ministries,0.4723
Indira Gandhi,krisban kant,0.4698
Indira Gandhi,share view administrative,0.4651
Indira Gandhi,reforms commission gone,0.4557
Indira Gandhi,period period varying,0.4472
Indira Gandhi,entirely incorrect,0.3783
Indira Gandhi,concerned schemes centrally,0.6889
Indira Gandhi,allotment investment,0.6754
Indira Gandhi,replying ranga remark,0.625
Indira Gandhi,rural electrification,0.6045
Indira Gandhi,contradictory figures given,0.5997
Indira Gandhi,agriculrure previous plans,0.5661
Indira Gandhi,land farmer dry,0.548
Indira Gandhi,political failure affect,0.5447
Indira Gandhi,base strong process,0.5011
Indira Gandhi,haye,0.4987
Indira Gandhi,does far,0.4973
Indira Gandhi,disparity time created,0.4877
Indira Gandhi,states think uf,0.4862
Indira Gandhi,glee prophesying,0.4238
Indira Gandhi,kandappan,0.4114
Indira Gandhi,excise revenue increase,0.7213
Indira Gandhi,converted pounds sterling,0.6877
Indira Gandhi,estimates 1970,0.6265
Indira Gandhi,commodities industrial production,0.587
Indira Gandhi,sethi dealt point,0.5687
Indira Gandhi,special assistance rs,0.5658
Indira Gandhi,political purposes favour,0.554
Indira Gandhi,respect credits western,0.5368
Indira Gandhi,slight decline,0.5281
Indira Gandhi,debts factors,0.5201
Indira Gandhi,pace assessment say,0.5094
Indira Gandhi,facts number speakers,0.5026
Indira Gandhi,presented,0.4939
Indira Gandhi,ator,0.4817
Indira Gandhi,variations strongly repudiate,0.4776
Indira Gandhi,developmental expenditure recent,0.7051
Indira Gandhi,rs 953 1960,0.6377
Indira Gandhi,hon expressed misgivings,0.6316
Indira Gandhi,enforcing price stability,0.6043
Indira Gandhi,welcomed provision orissa,0.5787
Indira Gandhi,grains public godowns,0.5677
Indira Gandhi,fifth finance commission,0.5366
Indira Gandhi,states non plan,0.533
Indira Gandhi,finances bank credit,0.5299
Indira Gandhi,mobilisation absorbed wholly,0.509
Indira Gandhi,million,0.5071
Indira Gandhi,effects like,0.4939
Indira Gandhi,steadily declined,0.4745
Indira Gandhi,khadijkar,0.4413
Indira Gandhi,excise duty tea,0.7835
Indira Gandhi,sale sugar dropped,0.7465
Indira Gandhi,export near future,0.6099
Indira Gandhi,cent increase public,0.5887
Indira Gandhi,naidu 467 budget,0.5699
Indira Gandhi,rs kg details,0.5585
Indira Gandhi,15 paise,0.541
Indira Gandhi,auction centres,0.5187
Indira Gandhi,cbengalraya,0.4986
Indira Gandhi,review explained,0.4925
Indira Gandhi,proposals worked hope,0.4874
Indira Gandhi,employment function economic,0.485
Indira Gandhi,gardens average,0.4653
Indira Gandhi,50 march,0.4514
Indira Gandhi,way larger,0.4047
Indira Gandhi,committee prof mukerjee,0.7127
Indira Gandhi,report allegations integrity,0.6349
Indira Gandhi,sarkar complete,0.5769
Indira Gandhi,expressed great respect,0.5752
Indira Gandhi,relevant fact favourable,0.5713
Indira Gandhi,iqsian judiciary,0.5676
Indira Gandhi,limaye remarks irrelevant,0.5593
Indira Gandhi,factionalism unfortunately,0.5548
Indira Gandhi,british scientific row,0.5548
Indira Gandhi,hydrogen bomb,0.4724
Indira Gandhi,teller british,0.4475
Indira Gandhi,outlook differences methods,0.9002
Indira Gandhi,cherwell henry,0.3957
Indira Gandhi,samar ouha,0.391
Indira Gandhi,chainnan aeronautical,0.3474
Indira Gandhi,replying president,0.7068
Indira Gandhi,swamy quelltion economy,0.6302
Indira Gandhi,hectares just million,0.6115
Indira Gandhi,substantially increased procurement,0.5634
Indira Gandhi,prices cent 1983,0.5613
Indira Gandhi,power farmers gone,0.5608
Indira Gandhi,myoid friend banarsidas,0.5508
Indira Gandhi,particular trying crop,0.5488
Indira Gandhi,think exaggeration,0.5107
Indira Gandhi,insurance pilot basis,0.4988
Indira Gandhi,states bihar,0.4772
Indira Gandhi,subramaniam,0.9735
Indira Gandhi,owe lives production,0.4424
Indira Gandhi,maharashtra time mysore,0.4166
Indira Gandhi,rulership letter wrote,0.6958
Indira Gandhi,customary rights special,0.6369
Indira Gandhi,privy purses abolish,0.5833
Indira Gandhi,states say minimise,0.5742
Indira Gandhi,reformers fought,0.5719
Indira Gandhi,transitional arrangements transitional,0.5682
Indira Gandhi,exists poverty inequality,0.5646
Indira Gandhi,1970,1.0897999999999999
Indira Gandhi,public regard confident,0.545
Indira Gandhi,22,0.531
Indira Gandhi,purses total payment,0.521
Indira Gandhi,lot sabba rejected,0.5127
Indira Gandhi,omit articles,0.48
Indira Gandhi,intention cause,0.4768
Indira Gandhi,institutions hannony society,0.429
Indira Gandhi,moving constitution fourth,0.6743
Indira Gandhi,sentiments,0.6053
Indira Gandhi,mishra graciously described,0.5976
Indira Gandhi,privy,0.5614
Indira Gandhi,rulers told president,0.5488
Indira Gandhi,showed sense history,0.5388
Indira Gandhi,unfortunately effort misinterpreted,0.5095
Indira Gandhi,opportunity hon redeem,0.4889
Indira Gandhi,compulsions social,0.4869
Indira Gandhi,refuses imprisoned,0.4805
Indira Gandhi,ruthnaswarny swatantra teaching,0.4533
Indira Gandhi,deb september,0.8203
Indira Gandhi,incompatible spirit modem,0.3871
Indira Gandhi,anti national question,0.704
Indira Gandhi,stress rights rectified,0.6781
Indira Gandhi,responsibility nature,0.659
Indira Gandhi,life tribal life,0.6277
Indira Gandhi,activities meant liquidate,0.5313
Indira Gandhi,communal provincial,0.5177
Indira Gandhi,forests better looked,0.5086
Indira Gandhi,workers industrial workers,0.5079
Indira Gandhi,democracy founding fathers,0.5059
Indira Gandhi,quite plausible speaking,0.5054
Indira Gandhi,nuclear experiment occasions,0.4957
Indira Gandhi,ancient books came,0.4839
Indira Gandhi,know developing countries,0.4763
Indira Gandhi,association secrecy,0.465
Indira Gandhi,mail post telecommunications,0.4335
Indira Gandhi,separate flags madras,0.7204
Indira Gandhi,strengthened nation hon,0.6968
Indira Gandhi,asked president governors,0.6648
Indira Gandhi,corporations concerned say,0.6305
Indira Gandhi,parties forum present,0.6213
Indira Gandhi,thillai vllialan remark,0.6168
Indira Gandhi,usa switzerland think,0.5993
Indira Gandhi,state ministers law,0.5501
Indira Gandhi,bhai,0.5437
Indira Gandhi,offices buildings national,0.5086
Indira Gandhi,muniswamy 593,0.5047
Indira Gandhi,standard motor cars,0.4946
Indira Gandhi,credit strong basic,0.4884
Indira Gandhi,kulkarni prasad,0.4604
Indira Gandhi,ralse4,0.414
Indira Gandhi,remark national integration,0.6945
Indira Gandhi,discrimination shrimati sheila,0.6714
Indira Gandhi,home ministry work,0.6079
Indira Gandhi,policemen society fathers,0.5975
Indira Gandhi,concerned merely crime,0.5698
Indira Gandhi,sympathetic problems greater,0.5144
Indira Gandhi,council dead madhu,0.5125
Indira Gandhi,woman service marries,0.4905
Indira Gandhi,mukul,0.4895
Indira Gandhi,completely ignored,0.4803
Indira Gandhi,sheila kaul,0.4388
Indira Gandhi,study law,0.4271
Indira Gandhi,shrimati lakshmikanthamma,0.4241
Indira Gandhi,needed provision adequate,0.6817
Indira Gandhi,backward areas state,0.6165
Indira Gandhi,forward day walls,0.5623
Indira Gandhi,wrong person bhandare,0.5622
Indira Gandhi,disappearance economic disparities,0.5529
Indira Gandhi,constitution declares union,0.5277
Indira Gandhi,integration state removed,0.5239
Indira Gandhi,chavan entire,0.5189
Indira Gandhi,speaking minorities friends,0.4813
Indira Gandhi,telenganain,0.4788
Indira Gandhi,mr frank anthony,0.4633
Indira Gandhi,problem viewed angle,0.4529
Indira Gandhi,earliest budhist writings,1.0014
Indira Gandhi,raghu ramaiah,0.4493
Indira Gandhi,does magic bag,0.4358
Indira Gandhi,fight feudalism struggle,0.6874
Indira Gandhi,jan sangh statement,0.6617
Indira Gandhi,invaded pakistan rallied,0.6104
Indira Gandhi,appropriate lesson pakistan,0.5877
Indira Gandhi,sheikh abdullah described,0.5817
Indira Gandhi,kashmir ls deb,0.5755
Indira Gandhi,bhutto gave ill,0.5466
Indira Gandhi,benefits accord belied,0.5439
Indira Gandhi,essay harmony,0.5095
Indira Gandhi,hanumanthaiyaji just subjective,0.5016
Indira Gandhi,246 49 695,0.4564
Indira Gandhi,marcb 1975,0.4545
Indira Gandhi,fmd value,0.4255
Indira Gandhi,failure fortunately did,0.4219
Indira Gandhi,personalities resources,0.3814
Indira Gandhi,shikhara built shrine,0.6982
Indira Gandhi,matters political autonomy,0.6284
Indira Gandhi,away temple inscription,0.6129
Indira Gandhi,preserve national treasures,0.6089
Indira Gandhi,plinth,0.594
Indira Gandhi,kashmir sit,0.5939
Indira Gandhi,archaeological survey unhappy,0.5916
Indira Gandhi,assam asked,0.57
Indira Gandhi,sharma president,0.5496
Indira Gandhi,thought reinforced sent,0.5463
Indira Gandhi,mariswamy,0.5351
Indira Gandhi,wall main road,0.5315
Indira Gandhi,numbers worshippers day,0.5068
Indira Gandhi,local,0.9823999999999999
Indira Gandhi,maitra brutally murdered,0.4151
Indira Gandhi,ups downs countries,0.687
Indira Gandhi,sondhiji expressed views,0.6536
Indira Gandhi,soviet russia policy,0.6035
Indira Gandhi,question national ignored,0.5813
Indira Gandhi,policy relations close,0.5595
Indira Gandhi,justice freedom,0.5592
Indira Gandhi,china translated hindi,1.0995
Indira Gandhi,does thing want,0.517
Indira Gandhi,issue trace changed,0.4924
Indira Gandhi,proof answering questions,0.4871
Indira Gandhi,camp followers block,0.4763
Indira Gandhi,sbri bal,0.4721
Indira Gandhi,raj madbok,0.9181999999999999
Indira Gandhi,713 facts,0.4408
Indira Gandhi,unrealistic tome,0.3918
Indira Gandhi,diplomacy,0.7337
Indira Gandhi,world criticising missions,0.6777
Indira Gandhi,sharma pointed clear,0.5615
Indira Gandhi,assessments national,0.5523
Indira Gandhi,mistakes british newspapers,0.5517
Indira Gandhi,fair critics,0.5441
Indira Gandhi,attention hope impact,0.5369
Indira Gandhi,purposeful activity meaningless,0.529
Indira Gandhi,incidentor information,0.528
Indira Gandhi,hem barua,1.7904
Indira Gandhi,does fully conform,0.503
Indira Gandhi,room improvement constantly,0.4934
Indira Gandhi,projecting let,0.4891
Indira Gandhi,783,0.4779
Indira Gandhi,food shortage bad,0.4597
Indira Gandhi,confidence motions,1.4144
Indira Gandhi,rajasthan situation spoken,0.6721
Indira Gandhi,democracy entirely,0.5385
Indira Gandhi,shows standards,0.5152
Indira Gandhi,ram manohar,0.4868
Indira Gandhi,aspect ignore,0.4786
Indira Gandhi,countries world aspect,0.4635
Indira Gandhi,marc 1967,0.4538
Indira Gandhi,110t gone,0.4501
Indira Gandhi,fortunately does suffer,0.4446
Indira Gandhi,shah khadilkar pahadia,0.3916
Indira Gandhi,lere hanged,0.3855
Indira Gandhi,lobia type,0.3686
Indira Gandhi,kashmir issue question,0.8051
Indira Gandhi,waters treaty protests,0.6545
Indira Gandhi,water pakistan say,0.6456
Indira Gandhi,times article xi,0.5881
Indira Gandhi,canal waters best,0.5791
Indira Gandhi,shastri ii stated,0.5405
Indira Gandhi,bank offering considerable,0.4959
Indira Gandhi,november 1967,0.8996
Indira Gandhi,number foreign countries,0.4563
Indira Gandhi,sabba indira,0.4507
Indira Gandhi,ce 822,0.4396
Indira Gandhi,sympathize knows closely,0.4337
Indira Gandhi,change position repeating,0.3863
Indira Gandhi,pakistan expressed,0.7155
Indira Gandhi,previous quarrels matter,0.6176
Indira Gandhi,goodbye future,0.5661
Indira Gandhi,needs,0.5568
Indira Gandhi,describes tamljsha regarded,0.5319
Indira Gandhi,leaders military dictatorship,0.5311
Indira Gandhi,refugees question marching,0.5259
Indira Gandhi,almqst,0.5019
Indira Gandhi,thought catch public,0.5014
Indira Gandhi,time bangladesh,0.9995
Indira Gandhi,talent culture heritage,0.4673
Indira Gandhi,naya chor,0.8538
Indira Gandhi,absolutely baseless,1.8574
Indira Gandhi,sort issues,0.3707
Indira Gandhi,wqrry,0.6618999999999999
Indira Gandhi,interested peaceful progress,0.6644
Indira Gandhi,spoke wheel,0.6357
Indira Gandhi,asian unity spoken,0.5962
Indira Gandhi,effort possible fails,0.5643
Indira Gandhi,necessity believed,0.5538
Indira Gandhi,pakistan big powers,0.5488
Indira Gandhi,greatest enemy,0.519
Indira Gandhi,perverse criticize america,0.5035
Indira Gandhi,1971 1972 knew,1.0748
Indira Gandhi,did heavy handicap,0.4811
Indira Gandhi,asm western countries,0.4769
Indira Gandhi,waning completely collapsed,0.4439
Indira Gandhi,diverted point asian,0.4347
Indira Gandhi,mrica latin america,0.8091
Indira Gandhi,sri lankan problem,0.7198
Indira Gandhi,referred tamils origin,0.6304
Indira Gandhi,negotiation viable political,0.5234
Indira Gandhi,press interview president,0.5225
Indira Gandhi,repression killing,0.5173
Indira Gandhi,soviet troops afghanistan,1.1172
Indira Gandhi,answerable 847 formation,0.5151
Indira Gandhi,mentioned second chamber,0.5095
Indira Gandhi,muslims separate telling,0.5083
Indira Gandhi,activities foreign agencies,0.5058
Indira Gandhi,origin inducted,0.4836
Indira Gandhi,felt does help,0.4782
Indira Gandhi,obviously remain unconcerned,0.468
Indira Gandhi,period time provincial,0.4567
Indira Gandhi,properties,0.3941
Indira Gandhi,commission particular situation,0.674
Indira Gandhi,question pressurising,0.6055
Indira Gandhi,invasion countries said,0.5921
Indira Gandhi,poland particular,0.5853
Indira Gandhi,trading north vietnam,0.572
Indira Gandhi,fact cbairman,0.543
Indira Gandhi,forced anybody cause,0.5371
Indira Gandhi,activity does mean,0.5358
Indira Gandhi,arose willing reconsider,0.5342
Indira Gandhi,sbri goray,0.4798
Indira Gandhi,time chinese,0.4354
Indira Gandhi,878,0.4263
Indira Gandhi,iddia,0.4242
Indira Gandhi,developments east bengal,0.4204
Indira Gandhi,world press reacting,0.6812
Indira Gandhi,parliamentary strike said,0.6311
Indira Gandhi,principle democracy,0.5648
Indira Gandhi,gone council ministers,0.5638
Indira Gandhi,settlement possible clarifying,0.5602
Indira Gandhi,poignant heartrending,0.56
Indira Gandhi,refugee camps small,0.488
Indira Gandhi,pakistan bandladesh know,0.488
Indira Gandhi,bangladesh close border,0.4838
Indira Gandhi,reception centres east,0.4575
Indira Gandhi,effortor physical effort,0.452
Indira Gandhi,essential programmes avoid,0.4478
Indira Gandhi,stage course,0.4453
Indira Gandhi,pakistan undertook visit,0.7191
Indira Gandhi,reciprocity remember president,0.666
Indira Gandhi,refugees think countries,0.5724
Indira Gandhi,november 1971,0.5678
Indira Gandhi,sheikh mujibur,1.1101
Indira Gandhi,kiesinger 1969 president,0.5535
Indira Gandhi,aspirations bangladesh,0.5506
Indira Gandhi,danger visit enabled,0.5454
Indira Gandhi,unity parties,0.5303
Indira Gandhi,pompidou owing,0.5226
Indira Gandhi,nixon heath,0.519
Indira Gandhi,sane counsel prevail,0.4991
Indira Gandhi,suppress,0.4594
Indira Gandhi,bangladesh supported nation,0.7142
Indira Gandhi,chatterjee spoke singling,0.6537
Indira Gandhi,end suffering refugees,0.627
Indira Gandhi,arties viii respond,0.6038
Indira Gandhi,mukti fauj later,0.5878
Indira Gandhi,determination courage,0.5748
Indira Gandhi,elections president pakistan,0.5718
Indira Gandhi,pakistan rifles,0.5434
Indira Gandhi,open hatred told,0.5198
Indira Gandhi,doorstep resulting flood,0.4964
Indira Gandhi,mulcti bahini,1.0243
Indira Gandhi,representative west,0.4885
Indira Gandhi,league planned non,0.4796
Indira Gandhi,extremely difficul,0.404
Indira Gandhi,dade period,0.4004
Indira Gandhi,red cross sent,0.7078
Indira Gandhi,palestinians unfortunately disunity,0.6337
Indira Gandhi,effectiveness united powers,0.614
Indira Gandhi,muslims said policy,0.5913
Indira Gandhi,aerial bombing civilian,0.5829
Indira Gandhi,10 surgical,0.5806
Indira Gandhi,indians lebanon,0.5558
Indira Gandhi,geneva cyprus,0.5402
Indira Gandhi,leaders mahatmaji father,0.5256
Indira Gandhi,july 1982,0.5041
Indira Gandhi,tension problem,0.474
Indira Gandhi,involved fighting gone,0.9933000000000001
Indira Gandhi,lot sabba,0.4565
Indira Gandhi,indira gandbi,0.3976
Indira Gandhi,barua remark,0.6587
Indira Gandhi,engaae trade union,0.6444
Indira Gandhi,farmers forums,0.6129
Indira Gandhi,committee views depends,0.5933
Indira Gandhi,family planning better,0.5795
Indira Gandhi,service 555 1959,0.5657
Indira Gandhi,ministries programmes,0.5401
Indira Gandhi,enormous funds disposal,0.4929
Indira Gandhi,time suggested months,0.488
Indira Gandhi,idea corporation,0.4834
Indira Gandhi,boring,0.442
Indira Gandhi,933 way,0.4412
Indira Gandhi,heard professor ranga,0.6518
Indira Gandhi,war way thinking,0.5384
Indira Gandhi,west bengal nature,0.5209
Indira Gandhi,policy food policy,0.5125
Indira Gandhi,bihari jpayee,0.51
Indira Gandhi,saws little,0.5059
Indira Gandhi,example quoting incorrect,0.4946
Indira Gandhi,framework alternative,0.4792
Indira Gandhi,does fact specially,0.4785
Indira Gandhi,constantly,0.4733
Indira Gandhi,friendly went soviet,0.4712
Indira Gandhi,wool gathering labyrinth,0.4608
Indira Gandhi,1967 cc 2732,0.4445
Indira Gandhi,50th anniversary founding,0.4346
Indira Gandhi,democracy suitable,0.7011
Indira Gandhi,freedom journalists important,0.6013
Indira Gandhi,tendulkar mahatmll vol,0.5711
Indira Gandhi,purity character,0.5295
Indira Gandhi,main question times,0.5287
Indira Gandhi,unduly agitated angry,0.514
Indira Gandhi,1976,0.5138
Indira Gandhi,regarding partition went,0.4955
Indira Gandhi,holmes said,0.4946
Indira Gandhi,magic singh,0.4688
Indira Gandhi,old man past,0.4621
Indira Gandhi,farewell deb april,0.4545
Indira Gandhi,western newspapers magazines,0.4542
Indira Gandhi,exploit ends recoil,0.4395
Indira Gandhi,vin group,0.3863
Indira Gandhi,hon mishra asked,0.7055
Indira Gandhi,budget think unfair,0.6099
Indira Gandhi,different meaning socialism,0.5849
Indira Gandhi,ideas listen patiently,0.5576
Indira Gandhi,allegations,0.5521
Indira Gandhi,govinda reddy wanted,0.5319
Indira Gandhi,arise bakshi,0.5045
Indira Gandhi,points view position,0.5032
Indira Gandhi,officers went,0.5003
Indira Gandhi,han knowing better,0.4929
Indira Gandhi,absolutely clear clear,0.4693
Indira Gandhi,railed sbri,0.4562
Indira Gandhi,making noting file,0.454
Indira Gandhi,impact share market,0.4262
Indira Gandhi,966 fn menon,0.7095
Indira Gandhi,sarkaria 724,0.616
Indira Gandhi,lohia rammanohar,0.5608
Indira Gandhi,801 madhok,0.5449
Indira Gandhi,mathur harish chandra,0.5356
Indira Gandhi,mandai 893,0.5244
Indira Gandhi,reddy mulka,0.5221
Indira Gandhi,vir 287,0.5158
Indira Gandhi,lagannatha,0.4898
Indira Gandhi,govinda 35,0.4777
Indira Gandhi,sezhiyan era,0.4677
Indira Gandhi,857 en 858,0.4274
Indira Gandhi,qasim syed mir,0.4177
Indira Gandhi,gamal abdul,0.4021
Indira Gandhi,parties order discuss,0.6258
Indira Gandhi,emergency powers stopped,0.5801
Indira Gandhi,border national security,0.5603
Indira Gandhi,poverty distressed deeply,0.5394
Indira Gandhi,close door way,0.5345
Indira Gandhi,critical period,0.5156
Indira Gandhi,futile harbour distrustor,0.5031
Indira Gandhi,easy hon referred,0.4942
Indira Gandhi,effects fighting lead,0.477
Indira Gandhi,does make little,0.4332
Indira Gandhi,vitality vitality,0.9569000000000001
Indira Gandhi,history certainly natural,0.4158
Indira Gandhi,know anxious,0.3975
Indira Gandhi,languages equal status,0.737
Indira Gandhi,education commission,0.61
Indira Gandhi,chief ministers come,0.5972
Indira Gandhi,reference urdu,0.5966
Indira Gandhi,delay announcing decision,0.5318
Indira Gandhi,operation peace aim,0.5294
Indira Gandhi,racialism colonialism,0.5194
Indira Gandhi,president powers,0.5183
Indira Gandhi,harijan brothers sisters,0.5032
Indira Gandhi,understand real reason,0.4891
Indira Gandhi,itnerestli economic political,0.4876
Indira Gandhi,masani said friendless,0.4728
Indira Gandhi,unnecessary oiimness hut,0.4529
Indira Gandhi,motherland security depends,0.6823
Indira Gandhi,policy pursuing decades,0.618
Indira Gandhi,alleged failures,0.578
Indira Gandhi,work amendments proposed,0.5623
Indira Gandhi,follow measures area,0.5621
Indira Gandhi,economy diverting resources,0.5567
Indira Gandhi,second essential element,0.5416
Indira Gandhi,area professors political,0.5403
Indira Gandhi,international organizations forums,0.5306
Indira Gandhi,500 million,0.5206
Indira Gandhi,deal general outlook,1.0602
Indira Gandhi,feel insecure questioning,0.4811
Indira Gandhi,bridge younger,0.4766
Indira Gandhi,citizens spirit bear,0.4665
Indira Gandhi,session like touch,0.4206
Indira Gandhi,tonnes plants total,0.7609
Indira Gandhi,nationalisation afraid nationalisation,0.7037
Indira Gandhi,key position economy,0.6102
Indira Gandhi,problems remain unresolved,0.5539
Indira Gandhi,common citizenship,0.5322
Indira Gandhi,objectives approach,0.5217
Indira Gandhi,commission administrative reforms,0.5211
Indira Gandhi,practical moment privately,0.5187
Indira Gandhi,fmance feed,0.5117
Indira Gandhi,education public health,0.5066
Indira Gandhi,states award,0.4911
Indira Gandhi,secondly does,0.4865
Indira Gandhi,used judiciously great,0.4613
Indira Gandhi,sm81ler union founding,0.4538
